"state","mean","q025","q05","q25","q50","q75","q95","q975"
"Abia",4083569.9251,2471412.5,2699471.6,3440109.5,3931575.5,4504455.75,5984244.7,6731123.45
"Adamawa",3606704.3074,3170179.5,3228695.55,3434705.25,3587957,3756567.75,4034199.6,4146924.975
"Akwa Ibom",3485612.6906,3033511.9,3104335,3310984.5,3467975,3642350.25,3925477.45,4024869.55
"Anambra",4228761.0113,2432219.425,2665972.2,3353617.25,3893806.5,4684973.25,6868066.4,8051480.75
"Bauchi",6179030.0122,5149752.975,5278250.45,5755897.25,6126062.5,6544586.5,7240754.7,7508835.35
"Bayelsa",1099951.6354,913600.25,937998,1021962,1089310.5,1165762.25,1300838.4,1356331.325
"Benue",4447787.0755,2455211.125,2722676.15,3482847.5,4076636,4959382.5,7434546.4,8741894.55
"Borno",5576313.1141,2777327.025,3122328.8,4305666.75,5176138,6368941,9234096.15,10828675.35
"Cross River",2969530.7245,1351366.6,1517248.4,2156957.75,2744470.5,3468071.5,5142648.9,6030865.57499999
"Delta",3665151.298,2342375.45,2513958.7,3035242.75,3441282.5,4020885,5515025.05,6296913.35
"Ebonyi",2771531.8552,2359533.325,2420398.35,2606873.75,2750809.5,2916086,3198146.35,3302706.05
"Edo",4020368.6946,3260036.9,3359673.25,3696837,3969891.5,4294843,4853864.45,5049142.05
"Ekiti",2073712.3831,1274603.275,1399050,1773325.5,2002807,2269960.5,2979712.35,3362752.95
"Enugu",2854860.1254,1725822.45,1877007.9,2315214.75,2654500,3140615.75,4491148.95,5185070.2
"Fct, Abuja",3830663.104,3328515.825,3397750.75,3636529.75,3811889.5,4002835.5,4318309.5,4448300.05
"Gombe",2861075.0077,1420647.95,1590740.95,2175306,2634697.5,3272505.75,4804057.9,5528836.725
"Imo",7151542.053,3644181.625,4161422.35,5786102.25,6806287.5,7972562.25,11356968.5,12966708.25
"Jigawa",5698878.0936,3095623.05,3452599.05,4639238.25,5482184,6459349.25,8706095.1,9745915.87499999
"Kaduna",8620188.7737,7410068.875,7586107.75,8124711.5,8567864.5,9038946,9877224.75,10197561
"Kano",13724246.2717,11827721.025,12084618.3,12952363.5,13630740,14385145,15666943.95,16128442.45
"Katsina",8504419.0124,4932025.325,5409427.55,7048677.25,8197314,9553115.75,12594748.35,14102338.575
"Kebbi",4051883.0496,3378926.7,3482544.65,3795880.25,4032343.5,4278574.25,4695942.3,4842766.9
"Kogi",2866670.813,1598759.725,1737525.6,2258411.75,2664302.5,3241318.75,4583791.85,5270204.35
"Kwara",2591236.1946,1715176.5,1812731.95,2181972.25,2478723,2861639.75,3707404.85,4127822.875
"Lagos",9519845.8326,7274663.6,7537313.4,8482604.25,9281878.5,10296195,12225297.9,13095649.15
"Nasarawa",3834118.4515,2287111.65,2518534.55,3300818.25,3747253.5,4222110.75,5369272.35,5981623.175
"Niger",5625974.4728,3060748.45,3333262.5,4390435.25,5224773.5,6369709.5,9131713.39999999,10536979.125
"Ogun",9506519.6475,6495977.1,6885790.25,8173521.5,9177296.5,10474327,13068066.3,14271818.575
"Ondo",4093637.4008,2022069.175,2359007.05,3339229.5,3898227.5,4566592.25,6448855,7444180.975
"Osun",4747218.5284,3409215.85,3595665.65,4195569,4644189.5,5174427.5,6208891.05,6711189.225
"Oyo",6922833.1124,5980843.5,6117455.7,6545332.75,6881778,7253547,7849747.05,8087053.55
"Plateau",3639275.1807,2238255.475,2410571.95,2962400.75,3444654,4085813.75,5513280,6174098.82499999
"Rivers",5289908.6226,3574634.75,3806556.7,4544795.75,5129981,5797897.25,7260515.6,8121116.525
"Sokoto",5123172.6941,3304660.575,3623950.35,4463801.75,4973270,5569450,7091809.55,7917818.4
"Taraba",4228506.6185,1984272.3,2229877.15,3151859.25,3863693,4874087,7290583.89999999,8512097.5
"Yobe",3409357.8018,2804387.425,2886162.4,3165927.5,3377764.5,3611831,4035913.5,4192185.05
"Zamfara",3457180.9905,2947545.175,3018619.9,3245505,3432599,3639419.25,3990277.3,4124066.075
