"state","local","mean","q025","q05","q25","q50","q75","q95","q975"
"Abia","Aba North",245825.278,151870.125,166073.7,206833,238400,275584.5,348734.65,380786.45
"Abia","Aba South",380211.9108,248613.75,267296.6,325813.25,370493,422451.75,521501.35,565143.075
"Abia","Arochukwu",146354.5149,66273.9,78563.3,115947,138293.5,164738.25,243310.75,278896.45
"Abia","Bende",236492.5846,107079.8,126417,187272.75,224031.5,266464.5,391307.25,448188.4
"Abia","Ikwuano",153494.9633,70809.75,82866.55,121828.25,145423.5,172650.75,253648.65,290833.375
"Abia","Isiala-Ngwa North",231792.9538,105602.525,123896.65,183801.75,219708,261120.25,384167.35,439246.825
"Abia","Isiala-Ngwa South",267528.7557,121869.55,143344.75,211798.25,253463.5,301163.5,443706.1,508978.425
"Abia","Isuikwuato",185895.9741,84140.55,99296.15,147109.5,176119.5,209838,308662.2,354202.775
"Abia","Obi Nwga",463748.4541,266921.225,293754.55,385317,444505.5,513216,699686.75,790273.025
"Abia","Ohafia",199576.7376,115743.6,127873,166443.5,191316,220377.5,298451.65,340134
"Abia","Osisioma Ngwa",558677.8389,369750.15,395582.15,478990,541729,615827.25,773453.65,838222.275
"Abia","Ugwunagbo",86627.5702,44345.95,50520.9,70270.25,82531.5,96766.25,136595.05,157105.075
"Abia","Ukwa East",67470.8249,30746.7,36102.45,53481.25,63982.5,75971.25,111428.55,128706
"Abia","Ukwa West",106842.7926,48577.125,57211.9,84720.75,101210,120177.75,176963.3,203309
"Abia","Umu-Nneochi",220614.5579,100069.225,118063.8,174842.25,208877,247666,364622.6,417859.75
"Abia","Umuahia North",308068.8085,207150.725,221591.15,265375,298241.5,337488.25,422587.95,464511.825
"Abia","Umuahia South",224345.4052,123551.925,138473.2,184891.25,214858.5,248462.75,343823.2,392436.9
"Adamawa","Demsa",150469.6337,98128.05,106043.5,131055.75,147003.5,165335,205376.25,223341.6
"Adamawa","Fufore",239979.6884,186235.675,193613.75,218428.75,237602.5,258390.25,294924.9,310428.3
"Adamawa","Ganye",192931.6416,142694.55,148516.6,167198.75,186621.5,212401.25,257762.25,273687.25
"Adamawa","Girei",181186.8923,143276.8,148694.5,166368.5,179480,194269.75,219656.55,228929.3
"Adamawa","Gombi",200932.5643,156824.325,162358.85,182229,198258,217284.25,248429.15,259494.3
"Adamawa","Guyuk",136843.6889,81517.975,86623.8,107688.75,128866,161547.75,207766.35,222154.5
"Adamawa","Hong",231758.0337,132370.875,147423.8,195191.25,224808,258745,337999.55,373973.225
"Adamawa","Jada",197998.8036,149732.875,156285.55,179211.75,196339.5,214692.25,244989.85,256344.8
"Adamawa","Lamurde",78434.1592,44995.175,50097.7,65895,76037,87686.25,114374.8,126785.575
"Adamawa","Madagali",128574.8406,90728.45,96265,114168.5,127125,140741.5,166181.8,176245.75
"Adamawa","Maiha",94183.1496,61614.55,66216.55,81376.5,91804.5,103933.5,130246.1,142606.8
"Adamawa","Mayo-Belwa",197334.9529,151835.975,156750.75,176155.75,193724,214735,250108.7,263211.45
"Adamawa","Michika",158182.441,90855.075,100959.5,133172.75,153415,176479,230520.35,254908.55
"Adamawa","Mubi North",180307.1535,146609.85,150991.9,167002.25,179047.5,191754.75,213552.5,221206.125
"Adamawa","Mubi South",170740.0858,136197.5,141219.2,156736,168712.5,182627,206873.45,216175.125
"Adamawa","Numan",80331.0079,59169.675,62090.75,71988.5,79139.5,86928.25,102785.4,110249.225
"Adamawa","Shelleng",121762.492,78026.75,83357.7,102617,120056.5,139425.75,164320.35,172534.925
"Adamawa","Song",239863.3654,189708.225,196800.7,220020.25,237115.5,256931.5,291545.6,304945.825
"Adamawa","Toungo",49834.2979,28612.85,31810.7,41906.75,48426,55697.25,72571.8499999999,80745.4
"Adamawa","Yola North",206303.3767,171561.6,176606,192724.25,204868.5,218021.75,240686.95,250016.075
"Adamawa","Yola South",368752.0384,307294.625,316703.6,344832.25,366258.5,389908.5,428971,443061.225
"Akwa Ibom","Abak",161657.0086,128340.875,132160.3,145032.25,155793,171537.5,213036.2,229393.2
"Akwa Ibom","Eastern Obolo",19312.3599,13035.75,14208.85,17314.75,19022.5,20877,25254.75,27574.05
"Akwa Ibom","Eket",231350.8815,177934.925,185725.65,212990.75,231843,249101.5,276371.65,286211.675
"Akwa Ibom","Esit Eket",53616.3324,36129.675,39522.7,48096.25,52749,58002,69960.45,76244.5
"Akwa Ibom","Essien Udim",115335.0762,89583.5,93066.85,103345.75,111720,123424.75,149858.6,160514.35
"Akwa Ibom","Etim Ekpo",91539.0515,68827.925,72844.95,83443,90089,98241.25,114740.9,121810.125
"Akwa Ibom","Etinan",78133.4383,59902.35,62544.85,69963.5,75919,83685.5,101558.1,109210.575
"Akwa Ibom","Ibeno",44222.9481,31720.775,34062.6,40128.25,43650,47547.75,55974,60249.125
"Akwa Ibom","Ibesikpo Asutan",202048.984,158136.025,164434.3,184561.25,199442.5,216388.5,246690.05,261487.1
"Akwa Ibom","Ibiono Ibom",104322.6338,78103.075,82746.85,95309,103231.5,111632,129839.25,138600.025
"Akwa Ibom","Ika",37501.5796,25389,27730.85,33717.5,36898,40514.25,49023.6,53651.2
"Akwa Ibom","Ikono",116095.6231,80047.975,85821.25,104964.25,116938.5,127293.25,143703.25,149724.8
"Akwa Ibom","Ikot Abasi",124116.7133,87762.95,94582.6,112823.25,123800.5,134310.25,155560.05,164898.6
"Akwa Ibom","Ikot Ekpene",227297.7474,179109.025,186425.6,209373.25,225384.5,243281,273260.55,284749.6
"Akwa Ibom","Ini",96777.1229,70051.975,74664.75,88585.5,96517.5,104789,118861.6,124890
"Akwa Ibom","Itu",141059.5835,110892.975,115596.8,129347.5,139357.5,151064.25,171762.65,179105.675
"Akwa Ibom","Mbo",69092.5893,44908.825,49126.95,62168,69279,75754.5,88234.35,93577.05
"Akwa Ibom","Mkpat Enin",82999.1979,62822.95,66027.35,75454,81616,89020.5,104255.15,110220.4
"Akwa Ibom","Nsit Atai",46886.9437,34182.825,36376.45,42214.5,45859,50391.25,60792.55,66340.05
"Akwa Ibom","Nsit Ibom",55409.4971,41838.8,44474.7,50780.75,54902.5,59410.25,68050.1,72087.05
"Akwa Ibom","Nsit Ubium",88812.3168,66246.95,69368,78928.5,85744.5,94897.75,119998.8,131857.675
"Akwa Ibom","Obot Akara",74362.8989,56463.675,59233.6,66892.75,72504.5,79515.75,95873.45,103758.575
"Akwa Ibom","Okobo",61470.6669,42497.575,46066.3,55623.75,60964,66607.25,78358.35,83267.7
"Akwa Ibom","Onna",69201.6557,52198.925,54769.6,62230.75,67523,74109.25,89461.25,96682.225
"Akwa Ibom","Oron",119312.8096,79462.9,86191.6,105387.75,117254,130324.5,158943.65,173282.225
"Akwa Ibom","Oruk Anam",136993.3138,94470.5,101710.45,124394.75,137027,149061.75,170985.15,181758.2
"Akwa Ibom","Udung Uko",20599.6845,13825.9,15119.8,18359,20241,22359.25,27132.05,29455.05
"Akwa Ibom","Ukanafun",107806.5606,76740.4,82425.55,97498.25,106340,116221.25,138479.1,148027.125
"Akwa Ibom","Uruan",117372.1739,88104.15,93036.65,106153.25,115155.5,125959.25,149138,159665.325
"Akwa Ibom","Urue Offong-Oruko",48854.2567,32918.875,35992.3,43865.5,48020.5,52944,63592.2,69047.575
"Akwa Ibom","Uyo",542051.0411,407124.85,425238.9,484699.25,531606.5,588581,691708.15,730689
"Anambra","Aguata",436697.0714,217804.375,244445.05,328501.25,394020.5,491539.25,767524.299999999,922093
"Anambra","Anambra East",102936.7594,60014.95,65898.9,82381.25,95188.5,114106.5,164893.9,190692.725
"Anambra","Anambra West",27477.1951,13463.75,15507.75,20649.5,24786,30985.25,48350.05,57860.8
"Anambra","Anaocha",164136.1385,81522.85,92463.85,123653.75,148042,184828.25,289805.799999999,347360.15
"Anambra","Awka North",65268.241,32341.5,36594.6,49203.75,58914,73376.75,114908.05,138649.05
"Anambra","Awka South",243014.3155,121868.475,136554.25,182684,219074,273916,427853.4,510268.175
"Anambra","Ayamelum",75584.5071,37705.6,42601.85,56854.25,68125,85186.5,133114.5,158485.175
"Anambra","Dunukofia",76836.4904,38381.925,43307.6,57936.5,69230,86538.25,135299.4,161903.25
"Anambra","Ekwusigo",247284.6498,123495.1,138731.9,186023.5,222865.5,278015.25,433270.5,523479.499999999
"Anambra","Idemili North",575468.8109,367259.125,392634.55,477865.25,544289.5,635955.75,848924.25,961407.475
"Anambra","Idemili South",241855.6171,120701.7,136060.8,182321.5,218078.5,271491.25,426340.6,508343.4
"Anambra","Ihiala",357811.2608,178276.275,200753.55,269662.25,322643.5,402420,631506.95,754798.925
"Anambra","Njikoka",192143.9473,96062.475,107935,144459.5,173277,216038.5,336458.85,402176.75
"Anambra","Nnewi North",221114.916,108863.6,122515.6,164784.5,198689,250393.25,389695.1,466207.325
"Anambra","Nnewi South",212751.7749,105946.1,119651.75,160133,191945.5,239504.5,375448.15,447730.175
"Anambra","Ogbaru",160155.3636,108255.475,114964.75,136133.5,154412.5,177251.25,224064.8,247324.625
"Anambra","Onitsha North",202210.3353,137498.575,145410.5,174366.75,196529.5,222902.25,277991.65,299501.925
"Anambra","Onitsha South",84706.0179,51123.575,55266.15,69620.25,81718,95838.25,124770.35,136425.575
"Anambra","Orumba North",117156.0359,57950.85,65663.3,88216,105575.5,131750,207839,247393.15
"Anambra","Orumba South",169796.0113,84195.45,95127.55,127732.25,153038,191142.75,299671,355846.85
"Anambra","Oyi",254355.5521,153799.525,167089.15,206094.5,236435.5,280785.5,399198.65,459658.6
"Bauchi","Alkaleri",362218.7402,267717.925,282764.85,326756.5,358346,393862,455457.8,479082.05
"Bauchi","Bauchi",1106399.6867,828899.65,867479.6,994339,1090313,1197092.75,1389871.15,1487667
